region,region_code,period,all_providers,all_primary_care_providers,all_physicians,all_primary_care_physicians,all_nurse_practitioners,all_primary_care_nurse_practitioners,all_physician_assistants,all_primary_care_physician_assistants
Massachusetts,MA,2012,21233,8820,17818,6884,2565,1611,851,325
Michigan,MI,2012,24020,10626,20403,8641,1682,1037,1935,948
Minnesota,MN,2012,13467,5832,11104,4560,1342,785,1021,487
Mississippi,MS,2012,6000,2775,4634,1834,1286,913,80,28
Missouri,MO,2012,14474,5985,12128,4586,1939,1264,408,135
Montana,MT,2012,2557,1202,1925,798,324,238,308,166
Nebraska,NE,2012,4999,2149,3769,1485,564,291,666,373
Nevada,NV,2012,5175,2033,4340,1578,412,260,423,195
New Hampshire,NH,2012,3856,1708,2991,1240,529,342,336,126
New Jersey,NJ,2012,22161,8830,19849,7792,1477,757,835,281
New Mexico,NM,2012,4517,2073,3579,1487,565,386,373,200
New York,NY,2012,56556,22266,47650,17824,4992,2729,3914,1713
North Carolina,NC,2012,23326,10111,17968,7330,2365,1473,2993,1308
North Dakota,ND,2012,1913,828,1424,542,309,184,180,102
Ohio,OH,2012,27489,10959,23939,9242,2543,1400,1007,317
Oklahoma,OK,2012,7725,3453,6362,2672,552,391,811,390
Oregon,OR,2012,9909,4374,8006,3312,1058,712,845,350
Pennsylvania,PA,2012,35731,13974,29635,11111,2946,1620,3150,1243
Rhode Island,RI,2012,3109,1238,2659,1020,313,160,137,58
South Carolina,SC,2012,10302,4410,8606,3488,1054,667,642,255
South Dakota,SD,2012,2191,992,1577,646,273,150,341,196
Tennessee,TN,2012,16893,7366,12874,5004,3175,1975,844,387
Texas,TX,2012,49764,21144,41842,16304,4369,2912,3554,1928
Utah,UT,2012,6496,2530,5098,1837,693,365,705,328
Vermont,VT,2012,1941,903,1509,643,256,168,176,92
Virginia,VA,2012,18620,8102,15295,6371,2093,1341,1232,390
Washington,WA,2012,17386,7387,14024,5625,1819,1083,1543,679
West Virginia,WV,2012,4870,2211,3751,1553,528,347,592,311
Wisconsin,WI,2012,14534,6051,11783,4752,1566,835,1186,464
Wyoming,WY,2012,1337,627,1011,434,159,105,167,88
Alabama,AL,2013,9488,4061,7925,3140,1239,806,324,115
Alaska,AK,2013,1997,1036,1434,662,295,192,268,182
Arizona,AZ,2013,14446,5931,11265,4180,1782,1065,1401,686
Arkansas,AR,2013,5469,2523,4474,1868,842,581,153,74
California,CA,2013,75850,31896,65703,25622,5176,3527,4974,2747
Colorado,CO,2013,12411,5237,9661,3655,1219,765,1532,817
Connecticut,CT,2013,10876,4190,8901,3214,1164,641,814,335
Delaware,DE,2013,2413,1013,1916,778,320,171,176,64
Florida,FL,2013,45599,18496,37130,14258,4977,2926,3494,1312
Georgia,GA,2013,20434,8695,15987,6408,2413,1562,2034,725
Hawaii,HI,2013,2907,1263,2628,1105,167,108,112,50
Idaho,ID,2013,3603,1657,2560,1045,489,305,555,307
Illinois,IL,2013,27755,12144,23892,9950,2254,1463,1611,731
Indiana,IN,2013,14789,6329,12160,4813,2120,1324,508,192
Iowa,IA,2013,6601,3231,4939,2186,1002,653,661,392
Kansas,KS,2013,6571,3025,4956,2116,941,573,675,336
Kentucky,KY,2013,10494,4690,7965,3146,1891,1234,638,310
Louisiana,LA,2013,10323,4279,8472,3201,1380,912,471,166
Maine,ME,2013,4010,1900,2969,1273,665,428,379,199
Maryland,MD,2013,14960,6016,12682,4795,1274,795,1004,426
Massachusetts,MA,2013,21217,8769,17554,6710,2713,1687,951,372
Michigan,MI,2013,23403,10418,19619,8280,1755,1104,2034,1034
Minnesota,MN,2013,12857,5666,10369,4255,1409,862,1080,549
Mississippi,MS,2013,5974,2887,4489,1821,1412,1046,76,20
Missouri,MO,2013,14463,6053,11892,4488,2142,1397,429,168
Montana,MT,2013,2488,1183,1846,766,334,245,308,172
Nebraska,NE,2013,4889,2171,3573,1434,621,341,695,396
Nevada,NV,2013,4895,1945,4007,1446,435,272,453,227
New Hampshire,NH,2013,3651,1615,2765,1115,552,362,335,138
New Jersey,NJ,2013,22068,8795,19495,7562,1657,902,916,331
New Mexico,NM,2013,4227,1954,3284,1346,585,407,359,201
New York,NY,2013,54893,21408,45714,16674,5086,2892,4095,1842
North Carolina,NC,2013,22958,10123,17400,7080,2524,1658,3038,1385
North Dakota,ND,2013,1841,828,1342,518,317,204,181,106
Ohio,OH,2013,26873,10860,22984,8875,2877,1627,1013,358
Oklahoma,OK,2013,7492,3347,6039,2499,606,436,847,412
Oregon,OR,2013,9534,4190,7620,3120,1081,702,835,368
Pennsylvania,PA,2013,34803,13773,28498,10533,3137,1836,3170,1404
Rhode Island,RI,2013,3018,1197,2542,974,318,165,158,58
South Carolina,SC,2013,10228,4417,8382,3353,1137,753,712,311
South Dakota,SD,2013,2149,980,1510,602,284,169,356,209
Tennessee,TN,2013,16418,7305,12234,4721,3327,2164,856,420
Texas,TX,2013,48196,20801,39789,15457,4722,3276,3688,2068
Utah,UT,2013,6237,2475,4772,1731,751,414,715,330
Vermont,VT,2013,1873,880,1464,628,232,156,179,96
Virginia,VA,2013,18421,8134,14835,6188,2258,1490,1330,456
Washington,WA,2013,16857,7228,13426,5387,1906,1154,1528,687
West Virginia,WV,2013,4641,2127,3491,1429,572,388,579,310
Wisconsin,WI,2013,13842,5766,11073,4418,1614,879,1156,469
Wyoming,WY,2013,1296,638,940,411,185,133,173,94
